Il nome della rosa; Umberto Eco; Un monaco indaga su misteriosi omicidi in un convento medievale. Un thriller filosofico e storico.; Thriller Storico; Bompiani; 19.90; 1980-01-01
1984; George Orwell; Un distopico regime totalitario in cui il Grande Fratello controlla ogni aspetto della vita. Temi di sorveglianza e libertà.; Distopia; Mondadori; 10.50; 1949-06-08
Harry Potter e la pietra filosofale; J.K. Rowling; Un ragazzo scopre di essere un mago e inizia la sua avventura nel mondo della magia.; Fantasy; Salani; 12.90; 1997-06-26
Il vecchio e il mare; Ernest Hemingway; Un anziano pescatore lotta con un gigantesco marlin al largo di Cuba. Una storia di resistenza e solitudine.; Classico; Mondadori; 8.50; 1952-09-01
Orgoglio e pregiudizio; Jane Austen; La storia di Elizabeth Bennet e delle sue relazioni con l'affascinante Mr. Darcy, tra malintesi e crescita personale.; Romanzo; Garzanti; 9.99; 1813-01-28
La casa degli spiriti; Isabel Allende; Una saga familiare che esplora amore, politica e soprannaturale nella storia del Cile.; Romanzo Storico; Feltrinelli; 15.00; 1982-11-01
Il grande Gatsby; F. Scott Fitzgerald; Il misterioso Gatsby e il suo amore impossibile per Daisy, nel contesto della corruzione e decadenza degli anni '20.; Classico; Scribner; 14.00; 1925-04-10
Don Chisciotte della Mancha; Miguel de Cervantes; Le avventure di un nobile che, convinto di essere un cavaliere errante, affronta il mondo in modo comico e tragico.; Classico; Einaudi; 16.00; 1605-01-16
Il piccolo principe; Antoine de Saint-Exupéry; Un giovane principe esplora vari pianeti e riflette sulla vita, l'amore e la natura umana.; Fantascienza; Bompiani; 7.90; 1943-04-06
La metamorfosi; Franz Kafka; Gregor Samsa si sveglia trasformato in un insetto gigante e affronta l'alienazione e l'isolamento.; Narrativa; Feltrinelli; 9.00; 1915-12-03
La solitudine dei numeri primi; Paolo Giordano; Un romanzo che esplora la solitudine e le fragilità di due giovani che si incontrano e si allontanano.; Narrativa; Mondadori; 13.00; 2008-01-01
Il conte di Montecristo; Alexandre Dumas; Un uomo tradito e imprigionato trama vendetta contro coloro che lo hanno ingiustamente condannato.; Avventura; Garzanti; 18.00; 1844-08-28
Il ritratto di Dorian Gray; Oscar Wilde; Un giovane uomo mantiene la sua giovinezza eterna mentre il suo ritratto invecchia, esplorando il tema della bellezza e della corruzione.; Classico; Newton Compton; 12.00; 1890-07-01
Shining; Stephen King; Un uomo e la sua famiglia si trasferiscono in un isolato hotel dove il padre diventa preda di forze malvagie.; Horror; Sperling & Kupfer; 16.90; 1977-01-28
Il giardino segreto; Frances Hodgson Burnett; Una bambina orfana scopre un giardino segreto e, con l'aiuto di amici, trasforma la sua vita e quella degli altri.; Per bambini; Giunti; 10.50; 1911-01-01
Il codice da Vinci; Dan Brown; Un professore di simbologia scopre un mistero legato al Santo Graal che lo porta in un'avventura per tutta Europa.; Thriller; Mondadori; 19.90; 2003-03-18
Fahrenheit 451; Ray Bradbury; In un futuro distopico, i libri sono vietati e bruciati; uno dei pompieri inizia a dubitare della sua missione.; Fantascienza; Rizzoli; 14.50; 1953-10-19
Brave New World; Aldous Huxley; Un mondo futuristico dove la felicità è imposta dalla scienza e dalla tecnologia, ma a quale prezzo?; Distopia; Mondadori; 13.00; 1932-08-01
Il dottor Jekyll e Mr. Hyde; Robert Louis Stevenson; Un uomo diviso tra due personalità, una buona e una malvagia, esplora il lato oscuro dell'animo umano.; Horror; Mondadori; 8.00; 1886-01-01
Anna Karenina; Lev Tolstoj; Una donna aristocratica lotta con il suo amore proibito e la ricerca della felicità, ma subisce la disapprovazione della società.; Classico; Einaudi; 16.00; 1877-01-01
Il giovane Holden; J.D. Salinger; Il viaggio di crescita e disillusione di un adolescente che lotta con la solitudine e il mondo degli adulti.; Romanzo di formazione; Einaudi; 12.00; 1951-07-16
Le notti bianche; Fëdor Dostoevskij; Un uomo solitario incontra una giovane donna e sogna una vita perfetta, ma si scontra con la realtà.; Classico; Feltrinelli; 8.50; 1848-11-01
Il barone rampante; Italo Calvino; Un ragazzo decide di vivere sugli alberi, rifiutando la vita convenzionale della sua famiglia.; Romanzo; Einaudi; 14.50; 1957-12-10
La strada; Cormac McCarthy; In un mondo post-apocalittico, un padre e suo figlio cercano di sopravvivere mentre la civiltà collassa.; Distopia; McMurray; 17.50; 2006-09-26
Perfume: Storia di un assassino; Patrick Süskind; Un uomo con un olfatto straordinario sviluppa una fissazione per il profumo e arriva a compiere crimini atroci.; Thriller; Mondadori; 18.00; 1985-04-01
La tregua; Primo Levi; La vita di un uomo durante l'occupazione nazista in Italia, raccontata con uno stile asciutto e disincantato.; Memoria Storica; Einaudi; 11.00; 1963-01-01
Se questo è un uomo; Primo Levi; Un racconto autobiografico sulla sua esperienza nei campi di concentramento nazisti e sulla sopravvivenza.; Memoria Storica; Einaudi; 14.00; 1947-01-01
Il piccolo libro delle grandi risposte; Luciano Ligabue; Una raccolta di riflessioni sulla vita, sulla musica e sulle emozioni, scritte da un noto cantautore italiano.; Saggistica; Einaudi; 16.00; 2003-11-01
Venti di guerra; Patrick O'Brian; Nel corso delle guerre napoleoniche, il capitano Jack Aubrey e il medico Stephen Maturin affrontano battaglie e pericoli.; Storico; Adelphi; 22.00; 2000-09-01
L'alchimista; Paulo Coelho; Un giovane pastore inizia un viaggio alla ricerca di un tesoro, imparando lezioni di vita lungo il cammino.; Spiritualità; Bompiani; 12.90; 1988-05-01
Midnight's Children; Salman Rushdie; Un bambino nato allo scoccare della mezzanotte segna l'inizio di una nuova era in India, in un romanzo ricco di simbolismi storici e magici.; Romanzo Storico; Mondadori; 20.00; 1981-05-15
Norwegian Wood; Haruki Murakami; Un giovane uomo ricorda il suo amore perduto e la sua crescita emotiva in un Giappone degli anni '60.; Romanzo; Einaudi; 15.00; 1987-09-04
Il soccombente; Matteo Nucci; Un giovane racconta la sua passione per il suo maestro di nuoto, esplorando la bellezza della fragilità umana.; Narrativa Contemporanea; Sellerio; 13.50; 2004-05-13
Un anno con te; Marian Keyes; Un romanzo di formazione che segue una donna mentre affronta la fine di un matrimonio e il ritorno alla vita.; Romanzo; Fazi; 16.90; 2005-03-01
Il giorno della civetta; Leonardo Sciascia; Un polizotto siciliano indaga su un omicidio che svela il legame tra mafia e politica.; Giallo; Sellerio; 11.50; 1961-01-01
Le correzioni; Jonathan Franzen; Un romanzo familiare che racconta le vite di tre figli e dei loro genitori, mettendo in luce le difficoltà dei legami familiari.; Narrativa Contemporanea; Adelphi; 19.90; 2001-09-01
Un inverno da Alice; Luca Di Fulvio; In un'Europa devastata dalla guerra, una giovane ragazza deve affrontare un viaggio in cerca di salvezza.; Romanzo Storico; Neri Pozza; 18.00; 2015-11-01
Il signore delle mosche; William Golding; Un gruppo di ragazzi naufraghi su un'isola deserta perde lentamente la sua civiltà, scivolando verso la barbarie.; Classico; Mondadori; 10.00; 1954-09-17
Stoner; John Williams; La vita di un professore di lettere che affronta una vita di disillusione, ma anche di momenti di sorprendente bellezza.; Narrativa; Fazi; 14.50; 1965-09-01
Il ponte di San Luis Rey; Thornton Wilder; Cinque persone muoiono in un tragico crollo di un ponte, e un monaco cerca di capire il significato di questo evento.; Romanzo Storico; Garzanti; 12.90; 1927-10-01
